municipio,media_notas,total_participantes,desvio_notas,ipdm,rendimento_domiciliar_per_capita,taxa_ensino_superior_completo,taxa_alfabetizacao
Batatais,530.5,390,70.5,546,1826.35,17.19,0.963
Campo Limpo Paulista,521.5,390,65.2,516,1564.93,15.42,0.968
Peruíbe,516.9,389,67.8,494,1407.11,16.25,0.96
Tupã,543.5,380,67.5,557,1848.49,20.67,0.959
Embu-Guaçu,509.2,380,64.4,499,1386.48,13.64,0.954
Votorantim,520.2,378,64.6,529,1837.4,18.82,0.976
Mairiporã,518.0,367,69.3,521,1825.67,18.61,0.958
Mogi Mirim,549.0,364,66.3,597,2026.17,22.22,0.97
Jaboticabal,534.8,361,71.1,566,1948.36,21.73,0.966
Pirassununga,529.8,351,66.6,556,2014.47,23.02,0.969
Orlândia,512.7,321,72.4,531,1737.14,16.81,0.965
Penápolis,525.1,320,72.4,556,1737.74,18.4,0.968
Nova Odessa,532.6,318,58.0,613,1934.32,18.06,0.979
Ibiúna,519.0,315,67.6,516,1324.95,11.27,0.939
Cosmópolis,520.1,309,63.5,548,1614.71,13.19,0.966
Lins,537.2,309,66.5,549,1864.07,22.46,0.97
São Joaquim da Barra,516.5,309,65.8,569,1577.23,17.22,0.965
Mongaguá,507.9,302,59.5,442,1287.82,11.26,0.962
Andradina,526.6,300,69.6,547,1774.02,18.56,0.963
Monte Mor,499.9,300,61.3,538,1367.63,10.7,0.956
Capão Bonito,506.7,296,59.1,515,1240.46,10.01,0.942
Lençóis Paulista,532.7,296,67.2,596,1795.57,16.92,0.966
Vargem Grande Paulista,518.0,293,68.7,563,1929.62,21.47,0.968
Itupeva,522.3,291,64.2,613,2035.47,19.38,0.974
Mirassol,526.9,288,72.1,604,2049.55,21.24,0.972
São José do Rio Pardo,544.1,278,71.1,529,1547.43,15.72,0.969
Várzea Paulista,505.5,276,53.6,542,1446.57,10.39,0.965
Olímpia,524.2,264,66.3,607,1674.78,16.73,0.965
Capivari,532.5,262,65.0,543,1570.15,12.43,0.969
Santa Cruz do Rio Pardo,535.7,256,78.4,570,1738.78,18.66,0.965
Piedade,523.2,252,68.5,522,1446.28,10.49,0.954
Ibitinga,532.9,252,68.6,515,1437.98,8.79,0.965
Bertioga,495.9,252,58.1,553,1511.97,12.17,0.965
Boituva,554.1,249,69.9,587,1819.01,19.86,0.97
Jaguariúna,527.6,248,66.7,649,2045.01,20.96,0.975
Jales,541.9,246,69.4,620,2077.24,24.35,0.963
Itararé,513.1,246,66.0,502,1297.43,12.87,0.956
Santa Isabel,515.7,243,65.0,524,1412.6,14.42,0.946
Itapira,541.2,239,61.8,580,1823.28,15.82,0.964
Novo Horizonte,517.4,236,69.9,555,1693.96,13.83,0.947
Ituverava,524.2,232,77.1,516,1788.4,17.71,0.954
Presidente Venceslau,526.1,230,69.4,568,1954.88,19.15,0.953
Presidente Epitácio,526.1,230,67.7,558,1428.42,14.99,0.952
Paraguaçu Paulista,509.6,229,68.2,513,1546.02,16.62,0.954
Barra Bonita,538.8,228,68.2,548,1853.96,18.38,0.961
Taquaritinga,527.7,227,71.3,470,1620.23,15.6,0.95
Dracena,532.3,227,73.7,565,1886.73,21.52,0.965
Rio Grande da Serra,507.9,218,59.3,556,1233.69,10.38,0.958
Artur Nogueira,523.9,213,65.7,559,1649.8,13.51,0.954
Mairinque,500.1,213,55.0,533,1607.36,14.17,0.961
Porto Feliz,504.0,209,61.7,595,1626.03,12.48,0.964
Garça,518.8,209,72.2,502,1612.63,17.89,0.959
Campos do Jordão,523.1,202,64.6,578,1626.97,13.16,0.965
José Bonifácio,540.1,192,75.4,530,1697.31,16.14,0.96
Iguape,494.4,192,70.4,480,1336.34,12.69,0.942
Tietê,537.7,186,75.3,577,2011.6,20.0,0.975
Monte Alto,538.2,184,68.9,563,1861.15,17.36,0.967
Osvaldo Cruz,529.6,180,67.9,527,1773.28,18.47,0.963
Porto Ferreira,530.4,178,67.0,519,1719.41,15.4,0.962
Serrana,511.3,178,60.8,504,1283.46,9.08,0.955
Cerquilho,535.4,176,67.1,607,1839.05,16.78,0.977
Guaíra,526.7,175,80.3,545,1685.85,14.85,0.961
Espírito Santo do Pinhal,531.9,175,69.0,570,1838.17,18.43,0.96
Bariri,528.6,173,75.0,558,1755.66,17.59,0.961
Ilha Solteira,529.4,172,64.9,573,2147.45,22.76,0.966
Cabreúva,518.1,164,63.3,584,1480.46,10.88,0.963
Pontal,503.6,164,60.3,519,1384.14,9.69,0.941
Ibaté,508.8,162,63.0,560,1285.02,9.29,0.951
Guariba,487.3,160,59.1,513,1320.05,9.89,0.94
Cachoeira Paulista,523.8,156,62.6,469,1383.47,16.51,0.965
Piraju,524.5,156,68.6,557,1659.91,19.53,0.967
Cândido Mota,506.2,156,60.3,555,1531.32,15.82,0.953
Juquitiba,490.7,154,57.6,491,1076.35,10.02,0.922
São Pedro,534.3,154,61.8,558,1747.04,18.09,0.965
Salto de Pirapora,514.2,153,59.4,556,1536.7,11.78,0.966
Jardinópolis,513.4,153,69.7,539,1536.17,12.91,0.961
São Manuel,512.2,152,54.8,523,1448.66,13.51,0.954
Fartura,517.1,152,75.0,590,1482.13,14.44,0.954
Descalvado,527.7,151,64.5,596,1726.15,17.45,0.962
Promissão,515.2,151,69.2,534,1506.74,16.07,0.964
Palmital,501.4,150,64.1,553,1582.67,16.95,0.96
Itápolis,518.5,149,68.8,581,1675.41,16.04,0.952
Pederneiras,526.1,146,67.6,550,1528.3,13.8,0.954
Santa Rita do Passa Quatro,539.9,145,72.0,529,1753.02,18.84,0.965
Apiaí,504.5,145,63.5,493,1148.15,10.88,0.94
Guararapes,533.6,143,73.1,570,1575.63,15.52,0.952
Socorro,540.3,143,68.0,569,1787.74,16.89,0.955
Adamantina,547.7,142,68.8,565,1868.26,21.98,0.965
Álvares Machado,527.7,141,71.4,508,1462.07,15.46,0.958
Santa Rosa de Viterbo,509.1,141,61.6,540,1588.13,14.09,0.966
Pitangueiras,511.5,140,64.8,540,1363.54,12.36,0.945
Igarapava,500.8,139,64.6,516,1501.48,13.93,0.948
Agudos,535.2,136,65.4,518,1590.76,15.77,0.962
Louveira,508.4,134,57.1,645,2025.97,17.45,0.965
Pompéia,531.6,133,78.8,626,1904.12,22.4,0.964
Aparecida,498.5,133,53.2,551,1468.76,16.35,0.97
Vargem Grande do Sul,518.2,133,66.7,519,1350.12,10.7,0.956
Taquarituba,546.7,133,64.4,551,1515.25,11.28,0.948
Rio das Pedras,510.1,128,58.1,552,1563.69,11.91,0.966
Pilar do Sul,532.4,128,73.9,545,1571.17,13.66,0.949
Araçoiaba da Serra,500.3,127,64.9,555,1993.37,18.7,0.97
Santa Cruz das Palmeiras,529.6,126,70.7,521,1607.04,13.04,0.941
Ipaussu,513.6,125,63.3,460,1441.01,15.46,0.954
