Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,IDALINA DO AMARAL GRACA,35045123,SP,Ubatuba,Urbana,A escola não está em área de localização diferenciada,Pública,"DA CASCATA, 400 IPIRANGUINHA. 11693-056 Ubatuba - SP.",(12) 38324719,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",Atendimento Educacional Especializado,-23.4295239,-45.1122859
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ANTONIO ALVES BERNARDINO,35045147,SP,Caraguatatuba,Urbana,A escola não está em área de localização diferenciada,Pública,"MARECHAL DEODORO DA FONSECA, 755 AVENIDA. TINGA. 11674-410 Caraguatatuba - SP.",(12) 38653119,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional","Atendimento Educacional Especializado, Atividade Complementar",-23.6302514,-45.4340646
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,AIDA LEDA BAUER DAVIES PROFESSORA,35045160,SP,Mongaguá,Urbana,A escola não está em área de localização diferenciada,Pública,"SILVANO RIBEIRO DIROZ, 200 AVENIDA. VILA ARENS. 11730-000 Mongaguá - SP.",(13) 34481006,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",,-24.09444,-46.62753
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JOSE BATISTA CAMPOS,35045172,SP,Peruíbe,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA BENEDITO ANDERSON LIBERT, 50 BALNEARIO CARAGUAVA. 11782-648 Peruíbe - SP.",(13) 34553207,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",Atendimento Educacional Especializado,-24.2942664,-47.0221029
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,MAGALI ALONSO PROFESSORA,35045196,SP,Praia Grande,Urbana,A escola não está em área de localização diferenciada,Pública,"MINISTRO MARCOS FREIRE, 32278 AVENIDA. VILA TUPI QUIETUDE. 11719-150 Praia Grande - SP.",(13) 34943581,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional","Atendimento Educacional Especializado, Atividade Complementar",                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EZEQUIEL CASTANHO PROF,35045251,SP,Guareí,Urbana,A escola não está em área de localização diferenciada,Pública,"CORONEL ANIBAL CASTANHO, 288 RUA. CENTRO. 18250-000 Guareí - SP.",(15) 32581233,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",Atendimento Educacional Especializado,-23.3725816,-48.1851313
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESTHER CARPINELLI RIBAS PROFESSORA,35045275,SP,Itararé,Urbana,A escola não está em área de localização diferenciada,Pública,"LUIZ MARQUES DOS SANTOS, 331 JARDIM ALVORADA. 18462-204 Itararé - SP.",(15) 35322875,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",Atendimento Educacional Especializado,-24.1031804,-49.325377
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ROGERIO LAZARO TOCCHETON PROF,35045287,SP,Itu,Urbana,A escola não está em área de localização diferenciada,Pública,"FRANCISCO FALCATO JUNIOR, 465 RUA. SAO LUIZ. 13304-170 Itu - SP.",(11) 40243389,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",Atendimento Educacional Especializado,-23.2698253,-47.2797097
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CLEMENTINO VIEIRA CORDEIRO,35045329,SP,Piedade,Rural,A escola não está em área de localização diferenciada,Pública,"VELHA SOROCABA PIEDADE, SN AVENIDA. JURUPARA. 18170-000 Piedade - SP.",(15) 33446142,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-23.6451377,-47.4417534
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,DINAH MOTTA RUNHA PROFA,35045378,SP,Guaratinguetá,Urbana,A escola não está em área de localização diferenciada,Pública,"DR FRANCISCO MEIRELES FREIRE, 101 RUA. PARQUE SAO FRANCISCO. 12509-190 Guaratinguetá - SP.",(12) 31222432,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-22.7991584,-45.2184027
