Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,GAVIAO PEIXOTO BRIGADEIRO,35000024,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"MOGEIRO, 710 RUA. VILA PERUS. 05208-230 São Paulo - SP.",(11) 39170748,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos",,-23.40471,-46.75938
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JOAO SOLIMEO,35000036,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"DO SABAO, 1497 ESTRADA. JARDIM MARISTELA. 02806-000 São Paulo - SP.",(11) 39238001,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-23.4694686,-46.6983995
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,WALFREDO ARANTES CALDAS PROFESSOR,35000048,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"DEPUTADO CANTIDIO SAMPAIO, 1701 VILA SOUZA. 02860-001 São Paulo - SP.",,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,Ensino Médio,,-23.464,-46.67971
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,SEBASTIAO DE OLIVEIRA GUSMAO PROFESSOR,35000059,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"FRANCISCO GIRON, SN ESTRADA. MORRO DOCE. 05267-000 São Paulo - SP.",(11) 39166331,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,Ensino Médio,,-23.4383462,-46.7924469
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,RENATO DE ARRUDA PENTEADO PROFESSOR,35000097,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"FLORIANO DA COSTA BARROSO, 10 RUA. JARDIM CAROMBE. 02855-220 São Paulo - SP.",(11) 39213350,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",,-23.4581327,-46.7022058
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,MARIANO DE OLIVEIRA PROFESSOR,35000139,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"ALMIRANTE ISAIAS DE NORONHA, 13 RUA. VILA PEREIRA BARRETO. 02919-100 São Paulo - SP.",(11) 39757083,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",,-23.49153,-46.71565
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,SILVIO XAVIER ANTUNES PROFESSOR,35000140,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"JOSE DA SILVA MARTHA, 150 RUA. PIQUERI. 02913-100 São Paulo - SP.",(11) 39766232,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atividade Complementar,-23.5017077,-46.7131588
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,PIO TELLES PEIXOTO PROFESSOR,35000164,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"ARTUR ORLANDO, 985 RUA. VILA JAGUARA. 05118-000 São Paulo - SP.",(11) 36251933,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-23.511597,-46.7487375
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ZENAIDE VILALVA DE ARAUJO PROFESSORA,35000176,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"BELO JARDIM, 674 RUA. JARDIM MUTINGA. 05159-200 São Paulo - SP.",(11) 39040216,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",Atendimento Educacional Especializado,-23.5006627,-46.7122546
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ANTONIO CANDIDO CORREA GUIMARAES FILHO PROFESSOR,35000188,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"MUTINGA, 5071 AVENIDA. JARDIM SANTO ELIAS. 05110-000 São Paulo - SP.",(11) 36214575,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atividade Complementar,-23.5047429,-46.7581958
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,AGENOR COUTO DE MAGALHAES DOUTOR,35000197,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"GUILHERME MANKEL, 99 AVENIDA. VILA CLARICE. 05176-000 São Paulo - SP.",(11) 39041956,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",Atividade Complementar,-23.47151,-46.74658
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ANTONIO FRANCISCO REDONDO PROFESSOR,35000218,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"EVANDRO DANTON FERREIRA GANDRA, 148 RUA. VILA MANGALOT. 05131-100 São Paulo - SP.",(11) 39045011,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",,-23.4969,-46.7434
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CANDIDO GONCALVES GOMIDE PROFESSOR,35000224,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"AVELINO ZANETTI, 50 RUA. JARDIM CIDADE PIRITUBA. 02945-100 São Paulo - SP.",(11) 39716978,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",Atividade Complementar,-23.48306172,-46.72585765
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CLODOMIRO CARNEIRO,35000255,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"MANOEL DE SOUZA AZEVEDO, 364 RUA. SITIO MORRO GRANDE. 02809-040 São Paulo - SP.",(11) 39717109,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-23.4713437,-46.7031927
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ERMANO MARCHETTI,35000267,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"PEDRO MARIGLIANI, 192 RUA. CHACARA INGLESA. 05141-010 São Paulo - SP.",(11) 39046132,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-23.4933081,-46.7298324
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,HUMBERTO DE SOUZA MELLO GENERAL,35000280,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"DEPUTADO CANTIDIO SAMPAIO, 6803 AVENIDA. PARADA DE TAIPAS. 02860-001 São Paulo - SP.",(11) 39411722,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,BENEDITO TOLOSA PROFESSOR,35000309,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"DIRCEU DE LIMA, 617 PRACA. CASA VERDE. 02515-050 São Paulo - SP.",(11) 39511766,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-23.5104708,-46.6577907
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,PEDRO MONTEIRO DO AMARAL CAPITAO,35000322,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"NURSIA, 412 RUA. JARDIM SAO BENTO. 02524-020 São Paulo - SP.",(11) 38572727,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional","Atendimento Educacional Especializado, Atividade Complementar",-23.5026864,-46.6506415
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,MANUEL DA NOBREGA PADRE,35000334,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"SANTA PRISCA, 122 RUA. JARDIM LARANJEIRAS. 02518-010 São Paulo - SP.",(11) 39666330,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",Atividade Complementar,-23.5089549,-46.6630694
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ANTONIO JOSE LEITE PROF,35000371,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"DEZ DE MAIO, 271 RUA. VILA AMELIA. 02615-100 São Paulo - SP.",(11) 22583977,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-23.4703506,-46.655166
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ANTOINE DE SAINT EXUPERY,35000383,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"ANTONIO RIBEIRO DE MORAIS, 184 RUA. VILA CARBONE. 02751-000 São Paulo - SP.",(11) 39362980,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",Atendimento Educacional Especializado,-23.4909827,-46.6810889
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JOAQUIM LUIZ DE BRITO PROFESSOR,35000395,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"SANTA LUCIA FILIPPINI, 65 RUA. ITABERABA. 02737-100 São Paulo - SP.",(11) 39752467,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos",,-23.48751,-46.69238
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,MARQUES DE TAMANDARE ALMIRANTE,35000401,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"JACARECOPAIBA, 33 RUA. VILA MARINA. 02965-170 São Paulo - SP.",(11) 39922472,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",,-23.484261,-46.7029114
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JOAQUIM SILVADO DOUTOR,35000413,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"MONSENHOR MANOEL GOMES, 306 RUA. VILA ZAT. 02975-120 São Paulo - SP.",(11) 39756997,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-23.47972316,-46.70964749
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,AUGUSTO RIBEIRO DE CARVALHO PROFESSOR,35000450,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"PROFESSOR JOAO MACHADO, 511 RUA. NOSSA SENHORA DO O. 02927-000 São Paulo - SP.",(11) 39763034,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",Atendimento Educacional Especializado,-23.4979561,-46.7037694
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,AUGUSTO MEIRELLES REIS FILHO PROFESSOR,35000462,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"PADRE JOAO GUALBERTO, 311 RUA. IMIRIM. 02537-000 São Paulo - SP.",(11) 22392001,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-23.4916621,-46.6513643
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ETEC ALBERT EINSTEIN,35000486,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"NOVA GRANADA, 35 RUA. VILA BARUEL. 02522-050 São Paulo - SP.",(11) 39660503,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",,-23.504988,-46.6594088
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,LUIZ GONZAGA RIGHINI PROFESSOR,35000498,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"DEPUTADO EMILIO CARLOS, 900 AVENIDA. LIMAO. 02720-100 São Paulo - SP.",(11) 38573060,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",,-23.4978036,-46.6758798
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLOMBO DE ALMEIDA PROFESSOR,35000528,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"GRACIANO ALTIERI, 114 RUA. CASA VERDE ALTA. 02545-060 São Paulo - SP.",(11) 39511355,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",,-23.4939161,-46.6605849
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,TARCISIO ALVARES LOBO,35000536,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"ESTELA BORGES MORATO, 500 RUA. VILA SIQUEIRA. 02722-000 São Paulo - SP.",(11) 39312932,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-23.5026119,-46.6808481
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JACOMO STAVALE PROFESSOR,35000553,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"MANUEL MADRUGA, 205 RUA. MOINHO VELHO. 02960-020 São Paulo - SP.",(11) 39312880,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-23.4960487,-46.6996174
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,PLINIO DAMASCO PENNA PROFESSOR,35000589,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"GENERAL ULHOA CINTRA, 37 RUA. VILA BANCARIA MUNHOZ. 02759-030 São Paulo - SP.",(11) 39242756,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",Atividade Complementar,-23.483116,-46.6837951
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,TITO PRATES DA FONSECA,35000607,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"MENDONCA JUNIOR, 611 RUA. VILA DOS ANDRADES. 02610-010 São Paulo - SP.",(11) 39812872,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",Atividade Complementar,-23.4770123,-46.6642008
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ANTONIO EMILIO SOUZA PENNA PROFESSOR,35000620,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"CAROLINA MARIA DO CARMO, 30 RUA. VILA ALBERTINA. 02729-080 São Paulo - SP.",(11) 39312893,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-23.5035181,-46.6929174
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ROMULO PERO PROFESSOR,35000668,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"COPACABANA, 243 RUA. SANTA TERESINHA. 02461-000 São Paulo - SP.",(11) 29509718,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-23.4941932,-46.6384274
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,PAULO EGYDIO DE OLIVEIRA CARVALHO SENADOR,35000673,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"ARARITAGUABA, 1264 RUA. VILA MARIA. 02122-011 São Paulo - SP.",(11) 26310204,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",,-23.5150055,-46.5821843
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,RITA BICUDO PEREIRA PROFA,35000693,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"PERI RONCHETTI, 494 AVENIDA. JARDIM PERI. 02633-000 São Paulo - SP.",(11) 22322066,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-23.4619192,-46.6508911
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,NARBAL FONTES PROFESSORA,35000711,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"CONCEICAO, 806 AVENIDA. CARANDIRU. 02072-000 São Paulo - SP.",(11) 29064062,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-23.5004805,-46.6056775
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,OCTAVIO MENDES DOUTOR,35000723,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"VOLUNTARIOS DA PATRIA, 3422 RUA. SANTANA. 02402-300 São Paulo - SP.",(11) 29791201,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-23.490036,-46.6256296
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,PAUL HUGON PROF,35000735,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"JOSE DE ALMEIDA BOTELHO GENERAL, 196 RUA. PARQUE MANDAQUI. 02422-090 São Paulo - SP.",(11) 22311899,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-23.4710657,-46.6355175
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,MARIA MONTESSORI,35000747,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"CONCEICAO, 2288 AVENIDA. VILA PAIVA. 02072-002 São Paulo - SP.",(11) 29094973,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",,-23.5003949,-46.5928103
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,AFRANIO PEIXOTO,35000760,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"MARIA CANDIDA, 1936 RUA. VILA GUILHERME. 02071-013 São Paulo - SP.",(11) 29090009,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",,-23.5085852,-46.596843
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,HEROIS DA FEB,35000796,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"SOLDADO BENEDITO ELISEU DOS SANTOS, SN RUA. PARQUE NOVO MUNDO. 02177-020 São Paulo - SP.",(11) 29545915,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos",Atividade Complementar,-23.5124092,-46.5688134
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,IMPERATRIZ LEOPOLDINA,35000802,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"TOGO, 571 RUA. JARDIM JAPAO. 02124-050 São Paulo - SP.",(11) 22123411,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-23.5054693,-46.5778447
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,RAQUEL ASSIS BARREIROS PROFA,35000814,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"PENHA BRASIL GENERAL, 1255 AVENIDA. VILA NOVA CACHOEIRINHA. 02673-000 São Paulo - SP.",(11) 38512417,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-23.4641345,-46.6683506
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JOAO VIEIRA DE ALMEIDA,35000838,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"GUILHERME COTCHING, 1272 AVENIDA. VILA MARIA. 02113-012 São Paulo - SP.",(11) 26312651,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos",,-23.5183454,-46.5893575
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JOAQUIM LEME DO PRADO PROFESSOR,35000848,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"IMIRIM, 2113 AVENIDA. IMIRIM. 02465-200 São Paulo - SP.",(11) 22391332,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos",Atendimento Educacional Especializado,-23.4884378,-46.6525537
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CASTRO ALVES,35000875,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"FRANCISCO BRUNO, 67 RUA. VILA MARIZA MAZZEI. 02432-070 São Paulo - SP.",(11) 22566093,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-23.4854605,-46.6396929
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CARLOS DE LAET PROF,35000905,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"ALBERTINA VIEIRA DA SILVA GORDO, 147 RUA. VILA AURORA ZONA NORTE. 02410-000 São Paulo - SP.",(11) 29537720,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-23.4771139,-46.6243508
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ANTONIO LISBOA PROFESSOR,35000917,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"PROFESSOR FABIO FANUCCHI, 425 RUA. BAIRRO JARDIM SAO PAULO. 02045-080 São Paulo - SP.",(11) 29710852,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",,-23.4931599,-46.6157282
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ANTONIO VIEIRA PADRE,35000929,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"CRUZEIRO DO SUL, 3301 AVENIDA. CANINDE. 02031-200 São Paulo - SP.",(11) 29506476,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Médio,,-23.501482,-46.6253123
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,HOMEM DE MELLO BARAO,35000930,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"ALFREDO PUJOL, 1555 RUA. SANTANA. 02017-013 São Paulo - SP.",(11) 29506555,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-23.5022718,-46.6404803
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,BUENOS AIRES,35000942,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"DOUTOR OLAVO EGIDIO, 1008 RUA. SANTANA. 02037-001 São Paulo - SP.",(11) 29778335,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",,-23.5004137,-46.6164853
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ETEC PROFESSOR HORACIO AUGUSTO DA SILVEIRA,35000954,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"ALCANTARA, 113 RUA. VILA MARIA BAIXA. 02110-010 São Paulo - SP.",(11) 29051125,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",,-23.5196824,-46.5965299
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,GONCALVES DIAS,35000966,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"NILO LUIS MAZZEI, SN RUA. VILA ISOLINA MAZZEI. 02081-070 São Paulo - SP.",(11) 29767684,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional","Atendimento Educacional Especializado, Atividade Complementar",-23.4925479,-46.601329
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CASIMIRO DE ABREU,35000978,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"CORONEL JORDAO, 144 RUA. VILA PAIVA. 02075-030 São Paulo - SP.",(11) 29091149,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-23.5075343,-46.6013993
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EURICO FIGUEIREDO PROF,35001004,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"FONSECA FILHO MINISTRO, 75 RUA. JACANA. 02272-030 São Paulo - SP.",(11) 22425743,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-23.47009,-46.5868392
